"","median_I","low_I","high_I","Time_F1_Tyking"
"1",1.00925900798151,1.00789683433869,1.01230296975246,28
"2",1.03976309989585,1.03230789793213,1.05000428078983,29
"3",1.11417285856479,1.09037162035884,1.13882459532282,30
"4",1.25536569042938,1.20127868924616,1.31003121344039,31
"5",1.4877955389302,1.38374550586318,1.59158800597314,32
"6",1.83160978687994,1.65536110698971,2.00973580260598,33
"7",2.30548139502348,2.03198885611136,2.58627651665765,34
"8",2.9282374707804,2.52282383922393,3.33903957429208,35
"9",3.70996665047921,3.13582374399751,4.27699585906866,36
"10",4.65339390131496,3.87875195833862,5.40792532818434,37
"11",5.76903578741508,4.75444644563982,6.73389901758701,38
"12",7.05228409593701,5.76674190729015,8.27377447470526,39
"13",8.51295432536614,6.9173853081891,10.0274509986012,40
"14",10.1201943024779,8.2035023102106,11.9609047078571,41
"15",11.8930508068396,9.62352583364549,14.0619747145416,42
"16",13.8146342555047,11.1693371429227,16.33445189275,43
"17",15.9083741072412,12.8356216873756,18.796565032829,44
"18",18.1102590035507,14.6166973444267,21.409016352104,45
"19",20.4328480759248,16.5067005528487,24.1672263875464,46
"20",22.865433966237,18.4997184268212,27.0573582739862,47
"21",25.3999596314031,20.5898884898799,30.0644647616,48
"22",28.0563397417509,22.760353299696,33.1855801384079,49
"23",30.836301601655,24.9648088760064,36.4116579600152,50
"24",33.6781623728687,27.2708481170322,39.7341303619412,51
"25",36.5354234174116,29.6591477831841,43.2347347987593,52
"26",39.4586376970725,32.1082250401666,46.8332062426472,53
"27",42.4956604463819,34.427116878465,50.5190342774235,54
"28",45.5989059138291,36.7800228921574,54.28553178344,55
"29",48.7589721085763,39.23527585006,58.1263957610872,56
"30",51.9538345789946,41.8231019577693,62.0356941348581,57
"31",55.1806743772169,44.5101720141667,66.0078478575968,58
"32",58.5128298993725,47.2398000206725,70.0376181580004,59
"33",61.9254314216349,50.0087752201965,74.1200931485429,60
"34",65.3233199282688,52.8140812405395,78.2506612542554,61
"35",68.7333028777689,55.6528800806861,82.425002576441,62
"36",72.2536290154664,58.5225037059165,86.639079718962,63
"37",75.8054815862389,61.4204504959188,90.8891057801398,64
"38",79.3859249487047,64.3443711611273,95.1715345274604,65
"39",82.981718347657,67.2920537976616,99.4830573234866,66
"40",86.489580080676,70.261425274949,103.820590754863,67
"41",90.0114012088888,73.2505422075468,108.181238012044,68
"42",93.5452002460493,76.2575767145525,112.562295041821,69
