Time,interpolated_La1582,interpolated_f1tyking,incidence_time,incidence_La1582,incidence_f1tyking
0,0,0,1,0,0
1,0,0,2,0,0
2,0,0,3,0,0
3,0,0,4,0,0
4,0,0,5,0,0
5,0,0,6,0,0
6,0,0,7,0,0
7,0,0,8,0,0
8,0,0,9,0,0
9,0,0,10,0,0
10,0,0,11,0,0
11,0,0,12,0,0
12,0,0,13,0,0
13,0,0,14,0,0
14,0,0,15,0,0
15,0,0,16,0,0
16,0,0,17,0,0
17,0,0,18,0,0
18,0,0,19,0,0
19,0,0,20,0,0
20,0,0,21,1,0
21,1,0,22,22.4510297,0.443261841
22,23.4510297,0.443261841,23,24.00478357,0.462849058
23,47.45581327,0.906110899,24,24.39322204,0.467745862
24,71.84903531,1.373856761,25,23.61634511,0.457952253
25,95.46538042,1.831809014,26,21.67415278,0.433468233
26,117.1395332,2.265277247,27,18.566645,0.394293799
27,135.7061782,2.659571046,28,14.2938218,0.340428954
28,150,3,29,9.1981579,0.270005496
29,159.1981579,3.270005496,30,4.6495515,0.17555063
30,163.8477094,3.445556126,31,0.9904774,0.055196155
31,164.8381868,3.500752281,32,-1.7790645,-0.091057927
32,163.0591223,3.409694354,33,-3.6590741,-0.263211617
33,159.4000482,3.146482737,34,-4.6495515,-0.461264915
34,154.7504967,2.685217822,35,-4.7504967,-0.685217822
35,150,2,36,-4.097053,-0.892178225
36,145.902947,1.107821775,37,-3.2297942,-0.91057768
37,142.6731528,0.197244095,38,-2.2838636,-0.697524076
38,140.3892892,-0.500279981,39,-1.2592612,-0.253017414
39,139.130028,-0.753297395,40,-0.155987,0.422942307
40,138.974041,-0.330355088,41,1.025959,1.330355088
41,140,1,42,2.2956594,2.425016553
42,142.2956594,3.425016553,43,3.6894452,3.530109205
43,145.9851046,6.955125758,44,5.216399,4.601428672
44,151.2015036,11.55655443,45,6.876521,5.63897494
45,158.0780246,17.19552937,46,8.6698111,6.64274804
46,166.7478357,23.83827741,47,10.5962691,7.61274794
47,177.3441048,31.45102535,48,12.6558952,8.54897465
48,190,40,49,14.7978238,9.38373074
49,204.7978238,49.38373074,50,16.8185923,9.84622642
50,221.6164161,59.22995716,51,18.6673348,9.86876426
51,240.2837509,69.09872142,52,20.3440516,9.45134426
52,260.6278025,78.55006568,53,21.8487426,8.59396641
53,282.4765451,87.14403209,54,23.1814078,7.29663072
54,305.6579529,94.44066281,55,24.3420471,5.55933719
55,330,100,56,25.2185847,3.5211101
56,355.2185847,103.5211101,57,25.3627164,1.7380463
57,380.5813011,105.2591564,58,24.6623666,0.3491703
58,405.2436677,105.6083267,59,23.1175349,-0.6455182
59,428.3612026,104.9628085,60,20.7282215,-1.2460189
60,449.0894241,103.7167896,61,17.4944264,-1.4523321
61,466.5838505,102.2644575,62,13.4161495,-1.2644575
62,480,101,63,8.7879741,-0.7662827
63,488.7879741,100.2337173,64,4.7882327,-0.29335721
64,493.5762068,99.94036009,65,1.7115086,0.07043171
65,495.2877154,100.0107918,66,-0.4421982,0.3250838
66,494.8455172,100.3358756,67,-1.6728879,0.4705995
67,493.1726293,100.8064751,68,-1.9805604,0.5069783
68,491.1920689,101.3134534,69,-1.3652155,0.4342205
69,489.8268534,101.7476739,70,0.1731466,0.2523261
70,490,102,,,
