time,Interpolate_Ip
0,10
1,14.82173537
2,19.38880698
3,23.85401308
4,28.37015194
5,33.0900218
6,38.16642093
7,43.75214758
8,50
9,57.01671878
10,64.72481378
11,73.00073721
12,81.72094125
13,90.76187812
14,100
15,109.3095217
16,118.5557087
17,127.601589
18,136.3101906
19,144.5445416
20,152.16767
21,159.0426038
22,165.0323711
23,170
24,174.3780581
25,180.8772721
26,192.7779083
27,213.3602329
28,245.9045121
29,293.6910124
30,360
31,445.9982086
32,544.3982418
33,645.7991708
34,740.8000665
35,820
36,876.3270823
37,912.0255842
38,931.6688163
39,939.8300891
40,940
41,940.3231042
42,941.0827135
43,942.4645612
44,946.0047513
45,950.5240544
46,955.6028508
47,960.8215204
48,965.7604435
49,970
