"","median_I","low_I","high_I","Time_LA_1582"
"1",8.50142684541199,8.05064488370687,8.6474939651765,21
"2",15.2169036551165,14.3449589586242,15.6041673212366,22
"3",22.1168630526792,20.7905848922371,22.8441020494541,23
"4",29.1937661621794,27.3319131048932,30.3232881829839,24
"5",36.4208230143299,33.9529125300616,38.0100085275036,25
"6",43.7789553619002,40.6563998193187,45.8797650443353,26
"7",51.2455824128624,47.3744942304195,53.927520371572,27
"8",58.8145615145561,54.0690610291941,62.1038602094007,28
"9",66.4789904891979,60.7720837384824,70.3900190360315,29
"10",74.1908795212651,67.4755127363212,78.7797812135664,30
"11",81.9585514182567,74.1656289592696,87.2620111188088,31
"12",89.7788661502406,80.8777130586303,95.7990604968432,32
"13",97.6490462886339,87.5750632105216,104.428931586584,33
"14",105.546166642474,94.3524197029764,113.098289719398,34
"15",113.477678636471,101.023066686479,121.790950711532,35
"16",121.431212305984,107.698350753913,130.560701577201,36
"17",129.420071062297,114.420574309185,139.359677455606,37
"18",137.428229609709,121.168098651174,148.15328868448,38
"19",145.478697697655,127.93694120777,156.993071585727,39
"20",153.555199359943,134.682664066251,165.900792651036,40
"21",161.711829211006,141.445604667612,174.878762619722,41
"22",169.906463984286,148.287089270733,183.886967699359,42
"23",178.185539822011,155.210951836233,193.028160070117,43
"24",186.563067920489,162.178811758518,202.298594331776,44
"25",195.100803177771,169.355595980163,211.702003024581,45
"26",203.835387838226,176.789139985181,221.326822989111,46
"27",212.812692558921,184.32570758078,231.275996368835,47
"28",222.01608231662,192.282712618078,241.392632538724,48
"29",231.597701679112,200.503619388265,252.046678531186,49
"30",241.639566266341,208.985739370542,263.031541792403,50
"31",252.091201263564,218.128752628617,274.689927716826,51
"32",263.112098132797,227.724942922361,286.889480478636,52
"33",274.681709359332,237.893312801489,299.675449899303,53
"34",286.800512513414,248.634465094495,313.039591092407,54
"35",299.432106776276,259.973403746438,327.053677424724,55
"36",312.597493692769,271.56626231655,341.595083421535,56
"37",326.248228292647,283.751194247723,356.980051002726,57
"38",340.284003571714,296.336811612805,372.79887341312,58
"39",354.803255276957,309.420029323452,389.109386474423,59
"40",369.588632992271,322.623874370811,405.789678571085,60
"41",384.73658020262,336.274047006924,422.731084710826,61
"42",400.020414573146,349.837853007455,440.284610827972,62
"43",415.49834819268,363.513432292031,457.893027455162,63
"44",430.970886758235,376.938638751614,475.53595869638,64
"45",446.523960678505,390.991467370057,493.281332984661,65
"46",462.091722633086,404.701204161807,510.56534393878,66
"47",477.583613564104,418.098224314375,528.277402387112,67
"48",493.122572095409,431.84563630541,545.84739087244,68
"49",508.537659840381,445.566448224763,563.461625583753,69
