"","median_I.1000","low_I.1000","high_I.1000","Time_LA_1582"
"1",0.00850142684541199,0.00805064488370687,0.0086474939651765,21
"2",0.0152169036551165,0.0143449589586242,0.0156041673212366,22
"3",0.0221168630526792,0.0207905848922371,0.0228441020494541,23
"4",0.0291937661621794,0.0273319131048932,0.0303232881829839,24
"5",0.0364208230143299,0.0339529125300616,0.0380100085275036,25
"6",0.0437789553619002,0.0406563998193187,0.0458797650443353,26
"7",0.0512455824128624,0.0473744942304195,0.053927520371572,27
"8",0.0588145615145561,0.0540690610291941,0.0621038602094007,28
"9",0.0664789904891979,0.0607720837384824,0.0703900190360315,29
"10",0.0741908795212651,0.0674755127363213,0.0787797812135664,30
"11",0.0819585514182567,0.0741656289592696,0.0872620111188088,31
"12",0.0897788661502406,0.0808777130586303,0.0957990604968432,32
"13",0.0976490462886339,0.0875750632105216,0.104428931586584,33
"14",0.105546166642474,0.0943524197029764,0.113098289719398,34
"15",0.113477678636471,0.101023066686479,0.121790950711532,35
"16",0.121431212305984,0.107698350753913,0.130560701577201,36
"17",0.129420071062297,0.114420574309185,0.139359677455606,37
"18",0.137428229609709,0.121168098651174,0.14815328868448,38
"19",0.145478697697655,0.12793694120777,0.156993071585727,39
"20",0.153555199359943,0.134682664066251,0.165900792651036,40
"21",0.161711829211006,0.141445604667612,0.174878762619722,41
"22",0.169906463984286,0.148287089270733,0.183886967699359,42
"23",0.178185539822011,0.155210951836233,0.193028160070117,43
"24",0.186563067920489,0.162178811758518,0.202298594331776,44
"25",0.195100803177771,0.169355595980163,0.211702003024581,45
"26",0.203835387838226,0.176789139985181,0.221326822989111,46
"27",0.21281269255892,0.18432570758078,0.231275996368835,47
"28",0.22201608231662,0.192282712618078,0.241392632538724,48
"29",0.231597701679112,0.200503619388265,0.252046678531186,49
"30",0.241639566266341,0.208985739370542,0.263031541792403,50
"31",0.252091201263564,0.218128752628617,0.274689927716826,51
"32",0.263112098132797,0.227724942922361,0.286889480478636,52
"33",0.274681709359332,0.237893312801489,0.299675449899303,53
"34",0.286800512513414,0.248634465094495,0.313039591092407,54
"35",0.299432106776276,0.259973403746438,0.327053677424724,55
"36",0.312597493692769,0.27156626231655,0.341595083421535,56
"37",0.326248228292647,0.283751194247723,0.356980051002726,57
"38",0.340284003571714,0.296336811612805,0.37279887341312,58
"39",0.354803255276957,0.309420029323452,0.389109386474423,59
"40",0.369588632992271,0.322623874370811,0.405789678571085,60
"41",0.38473658020262,0.336274047006924,0.422731084710826,61
"42",0.400020414573146,0.349837853007455,0.440284610827972,62
"43",0.41549834819268,0.363513432292031,0.457893027455162,63
"44",0.430970886758235,0.376938638751614,0.47553595869638,64
"45",0.446523960678505,0.390991467370057,0.493281332984661,65
"46",0.462091722633086,0.404701204161807,0.51056534393878,66
"47",0.477583613564104,0.418098224314375,0.528277402387112,67
"48",0.493122572095409,0.43184563630541,0.54584739087244,68
"49",0.508537659840381,0.445566448224763,0.563461625583753,69
