Time_LA_1582,interpolated_La1582
21,6.172397527
22,50.5442426
23,82.87159383
24,105.0444735
25,118.9529038
26,126.4869072
27,129.5365058
28,130.0042732
29,130.0123168
30,130.0168007
31,130.0179889
32,130.0161448
33,130.0115324
34,130.0044154
35,129.9951043
36,129.9848367
37,129.9757001
38,129.9698132
39,129.9692946
40,129.9762632
41,129.9928377
42,130.4706779
43,132.9141758
44,138.6155978
45,147.6421098
46,159.238202
47,172.6338811
48,187.0591537
49,212.8303561
50,237.4701689
51,256.6982598
52,271.9051666
53,284.5365733
54,296.0381641
55,307.8556229
56,323.542386
57,342.5555955
58,363.6031703
59,385.6893903
60,407.8185353
61,428.9948853
62,448.2227201
63,451.3712388
64,452.8723417
65,454.3491301
66,455.800947
67,457.2271355
68,458.6270388
69,460
