Time,Interpolate_Ip
1,4.821735370000001
2,4.5670716099999975
3,4.465206100000003
4,4.516138859999998
5,4.719869860000003
6,5.076399129999999
7,5.585726649999998
8,6.247852420000001
9,7.016718779999998
10,7.708095000000007
11,8.275923429999992
12,8.720204039999999
13,9.04093687000001
14,9.238121879999994
15,9.309521700000005
16,9.246186999999992
17,9.045880300000007
18,8.708601599999994
19,8.234351000000004
20,7.623128399999985
21,6.874933800000008
22,5.989767300000011
23,4.967628899999994
24,4.378058100000004
25,6.499213999999995
26,11.900636200000008
27,20.582324599999993
28,32.544279200000005
29,47.78650029999997
30,66.30898760000002
31,85.9982086
32,98.40003320000005
33,101.4009289999999
34,95.0008957
35,79.19993350000004
36,56.32708230000003
37,35.6985019
38,19.643232099999977
39,7.131183699999951
40,1.0300891000000547
41,0.16991089999999076
42,1.0827134999999544
43,1.381847700000094
44,3.5401900999999043
45,4.519303100000002
46,5.078796400000101
47,5.218669599999998
48,4.938923099999897
49,4.239556500000049
