"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.0158908210334458,4.460630978427e-05,0.000388662122096404,0.0152355065815328,0.0156616871046043,0.0159133240083969,0.0160993761182868,0.0165811687788989,75.9192384200456,1.0189004920476
"theta[2]",0.0102309285726319,0.000156611316129312,0.00143242653897103,0.0083434712375348,0.00895034393274428,0.00997019938818139,0.011394400754497,0.0128002578928199,83.6562588524871,1.02186794678315
"theta[3]",0.0107845830630981,0.000142939230791972,0.00145260811690094,0.00843498717510736,0.00959458221867613,0.0108164476137314,0.0121598299728098,0.012893374319632,103.274726097681,1.00541435732828
"theta[4]",0.0987623331784977,0.000114488636656558,0.00130387247763937,0.0955255566157364,0.098452574401686,0.0991626461665292,0.0996272054109382,0.0999735001015427,129.701640436982,0.984014272409716
"theta[5]",0.00306872020685121,9.05345017540078e-05,0.000917306083868164,0.00144621686770757,0.00238567266172665,0.00307540712181032,0.00374960846645976,0.00493705492817852,102.659776896863,1.01712184409757
"theta[6]",0.806086822830697,0.0207046889692047,0.187134757754845,0.387416485097062,0.726120327700267,0.863261434060846,0.954829937070185,0.989642042280726,81.6904892400848,0.98500980219996
"theta[7]",0.778698426543809,0.0198539989598647,0.187591788803755,0.298591628772097,0.695901527683675,0.841125495844362,0.917453104592477,0.988194826462999,89.2753702050567,1.01531072990351
"theta[8]",0.989176169647487,0.00105685453141552,0.0111651777029662,0.957948347223424,0.984423434250997,0.993261615269525,0.996557358468939,0.999351190792555,111.609420076883,1.00457059366525
"theta[9]",0.890044936848466,0.00927887174812012,0.0876144209137684,0.697038829884703,0.83375274010155,0.904567889691996,0.964616244836119,0.997014628443638,89.1581083832476,1.06320553680754
"R_0",0.00268769829312168,9.14957363289029e-05,0.000947477180498866,0.00112099597119448,0.00196727585454871,0.00266627066377006,0.00338325747101974,0.00419054593803904,107.234814509226,1.00085090176509
"y_init[1]",998,NA,0,998,998,998,998,998,NA,NA
"y_init[2]",1,NA,0,1,1,1,1,1,NA,NA
"y_init[3]",1,NA,0,1,1,1,1,1,NA,NA
"y_init[4]",0.5,NA,0,0.5,0.5,0.5,0.5,0.5,NA,NA
"y_init[5]",0.3,NA,0,0.3,0.3,0.3,0.3,0.3,NA,NA
"y_init[6]",0.2,NA,0,0.2,0.2,0.2,0.2,0.2,NA,NA
"y_init[7]",1000,NA,0,1000,1000,1000,1000,1000,NA,NA
"y_init[8]",1,NA,0,1,1,1,1,1,NA,NA
"y_init[9]",1,NA,0,1,1,1,1,1,NA,NA
