median_I,low_I,high_I,dates
5.228937735476857e-4,2.7164886584872544e-4,9.069784492262207e-4,0
0.0010246089426992752,5.425435691455305e-4,0.0017668316984870331,1
0.0015116221256417195,8.233095200347488e-4,0.0025853269306898457,2
0.0019887391740218345,0.0011179895884495179,0.003367466032502118,3
0.0024630540081699128,0.00143385751847577,0.004119546859971195,4
0.002936206620906815,0.0017742634930544687,0.004841908706793531,5
0.003413176471114867,0.002137651751949705,0.005550235936912795,6
0.0038987476692143464,0.002517095099570927,0.006234681296733981,7.6
0.00439486629059897,0.002913705034368648,0.006909484883378213,8
0.004903714844366897,0.003322118077436778,0.007578107663619409,9
0.005426403200324998,0.003735532210554136,0.008259106820362034,10
0.005964124364621817,0.00415548809286651,0.008958831819262377,11
0.006512220595324365,0.0045752440536072,0.009694892902056374,12
0.0070719206820783805,0.0049899627682154155,0.010462993636431873,13
0.007643070373378628,0.005397600317595451,0.011290938833952985,14.1
0.008221604765327304,0.005792617392790836,0.012192691966544158,15
0.008810675026995993,0.006182780267263245,0.013200924080792075,16
0.00940580777940352,0.006564244553387629,0.014257096563891583,17
0.010004887908635896,0.006925579862985195,0.015393080011075495,18
0.010617674020749089,0.0072782155817753364,0.016605445387991254,19
0.011243419210193537,0.007625073053662937,0.01787590198384054,20
0.011870153669656373,0.007960507066172068,0.019246999502339508,21
0.012508513852761288,0.008279765788644594,0.020659564175052606,22.7
0.0131470189177855,0.008593597787705269,0.022128757739712047,23
0.013807296175781483,0.008893013178393892,0.02365336485575515,24
0.014474712833094518,0.009175733293657706,0.02524270682782631,25
0.015149313150067862,0.009453486119588534,0.02686338548971216,26
0.01583118294718882,0.009719115058998471,0.028533341432453573,27
0.016518914813590385,0.009976326235729544,0.030269737568707322,28
0.017229279432362223,0.010235408959092718,0.032020472936802005,29
0.017944240467041673,0.010478568204546436,0.033812904006948724,30.4
